y,p
0,79.982
1.15767e-05,79.982
2.48888e-05,79.9819
4.02163e-05,79.9818
5.78882e-05,79.9816
7.82917e-05,79.9812
0.000101883,79.9807
0.000129201,79.9798
0.000160882,79.9788
0.000197681,79.9776
0.000240493,79.9766
0.000290379,79.9758
0.000348605,79.9752
0.000416677,79.9742
0.000496392,79.9716
0.000589899,79.9665
0.000699764,79.9587
0.000829066,79.9472
0.000981493,79.9311
0.00116147,79.9093
0.00137434,79.8797
0.00162648,79.8392
0.00192562,79.7839
0.00228106,79.708
0.00270401,79.6151
0.00308362,79.5192
0.00344943,79.4241
0.0038084,79.3244
0.00416715,79.2161
0.00453208,79.0934
0.00490948,78.9499
0.00530563,78.7779
0.00572698,78.5689
0.00618017,78.3132
0.00667222,78.017
0.0071306,77.7016
0.00758188,77.3708
0.00802708,77.0196
0.00846704,76.6485
0.00890252,76.2566
0.00933414,75.8455
0.00976245,75.419
0.0101879,74.9821
0.0106109,74.5399
0.0110319,74.0962
0.011451,73.6518
0.0118686,73.2072
0.0122849,72.7629
0.0127,72.3311
0.0130748,71.9183
0.0134728,71.4971
0.0138957,71.0454
0.0143452,70.5603
0.0148233,70.0382
0.0153318,69.4754
0.0158732,68.8679
0.0164499,68.2111
0.0170647,67.4998
0.0177206,66.7287
0.018421,65.8911
0.0191698,64.9812
0.0199712,63.9488
0.0209503,62.7275
0.0220143,61.3352
0.0231718,59.7961
0.0244326,58.0959
0.0258078,56.2193
0.0273099,54.1508
0.0289533,51.8751
0.0307544,49.378
0.0327322,46.6471
0.0349085,43.6732
0.0373085,40.4518
0.0399613,36.985
0.0429011,33.2828
0.0461675,29.3662
0.0498071,25.2674
0.0538744,21.0327
0.0584337,16.8061
0.0631441,12.822
0.0680914,9.1513
0.0732937,5.80501
0.0787704,2.80525
0.0845614,0.198458
0.0903998,-1.8197
0.0945097,-3.1224
0.0979158,-3.98415
0.100739,-4.58819
0.103078,-5.01529
0.105017,-5.31946
0.106624,-5.53746
0.107956,-5.69449
0.10906,-5.808
0.109974,-5.89027
0.110733,-5.94998
0.111361,-5.99336
0.111882,-6.02486
0.112314,-6.04773
0.112671,-6.06431
0.112968,-6.07631
0.113214,-6.08498
0.113417,-6.09118
0.113586,-6.09492
0.113726,-6.0965
0.113842,-6.09703
0.113938,-6.09702
0.114018,-6.09694
0.114084,-6.09706
0.114139,-6.09732
0.114184,-6.0976
0.114222,-6.09784
0.114253,-6.0981
0.114279,-6.09835
0.1143,-6.09846
